SKU,Fecha,Demanda_Total,Precio_Prom_Venta,Num_Transacciones,Num_Feriados,Num_Dias_Pago,Num_Dias_Promocion,Precio_base,Rotacion_Cod,Target_Demanda_Futura,Demanda_Log
SKU-0001,2025-01-05,48.0,9.9625,16,0,0,0,10.0,3,78.5,3.8918202981106265
SKU-0001,2025-01-19,78.5,9.852631578947369,38,0,0,0,10.0,3,96.0,4.375757021660286
SKU-0001,2025-02-02,96.0,9.649056603773584,53,0,5,0,10.0,3,114.0,4.574710978503383
SKU-0001,2025-02-16,114.0,9.454054054054057,37,0,3,2,10.0,3,119.66666666666667,4.74493212836325
SKU-0001,2025-03-02,119.66666666666667,9.289583333333336,48,0,5,0,10.0,3,114.33333333333333,4.7930319231576615
SKU-0001,2025-03-16,114.33333333333333,9.115384615384617,39,0,0,3,10.0,3,116.33333333333333,4.747826486389615
SKU-0001,2025-03-30,116.33333333333333,8.927906976744186,43,0,0,6,10.0,3,119.33333333333333,4.765018886929988
SKU-0001,2025-04-13,119.33333333333333,8.742857142857142,49,0,0,3,10.0,3,139.0,4.790265669664771
SKU-0001,2025-04-27,139.0,8.554098360655736,61,0,0,0,10.0,3,136.33333333333334,4.941642422609304
SKU-0001,2025-05-11,136.33333333333334,8.368421052631579,38,3,7,0,10.0,3,120.33333333333333,4.922411060681417
SKU-0001,2025-05-25,120.33333333333333,8.202941176470588,34,0,2,0,10.0,3,91.66666666666667,4.7985415789686305
SKU-0001,2025-06-08,91.66666666666667,7.990625,32,0,4,0,10.0,3,92.33333333333333,4.529008825022528
SKU-0001,2025-06-22,92.33333333333333,7.797826086956522,46,3,0,0,10.0,3,109.0,4.53617731450114
SKU-0001,2025-07-06,109.0,7.63125,48,0,10,12,10.0,3,120.66666666666667,4.700480365792417
SKU-0001,2025-07-20,120.66666666666667,7.449090909090909,55,0,4,9,10.0,3,141.0,4.8012850649143815
SKU-0001,2025-08-03,141.0,7.2592592592592595,54,7,10,0,10.0,3,120.33333333333333,4.955827057601261
SKU-0001,2025-08-17,120.33333333333333,7.053571428571429,28,0,0,2,10.0,3,108.33333333333333,4.7985415789686305
SKU-0001,2025-08-31,108.33333333333333,6.886206896551725,29,0,0,2,10.0,3,93.0,4.694401319716034
SKU-0001,2025-09-14,93.0,6.695454545454546,44,0,3,0,10.0,3,101.33333333333333,4.543294782270004
SKU-0001,2025-09-28,101.33333333333333,6.524324324324325,37,0,1,0,10.0,3,102.66666666666667,4.628235458919088
SKU-0001,2025-10-12,102.66666666666667,6.347368421052631,38,0,1,1,10.0,3,104.0,4.641180623511125
SKU-0001,2025-10-26,104.0,6.141304347826087,46,0,0,0,10.0,3,112.33333333333333,4.653960350157523
SKU-0001,2025-11-09,112.33333333333333,5.972093023255814,43,0,0,0,10.0,3,123.33333333333333,4.7303333289420975
SKU-0001,2025-11-23,123.33333333333333,5.780851063829787,47,0,0,2,10.0,3,122.33333333333333,4.822966130975706
SKU-0001,2025-12-07,122.33333333333333,5.59795918367347,49,0,8,3,10.0,3,129.0,4.814890716970161
SKU-0002,2025-01-05,48.0,4.4,19,0,0,0,4.4,3,82.5,3.8918202981106265
SKU-0002,2025-01-19,82.5,4.4,43,0,0,0,4.4,3,107.66666666666667,4.42484663185681
SKU-0002,2025-02-02,107.66666666666667,4.4,61,0,3,0,4.4,3,135.33333333333334,4.688285092698598
SKU-0002,2025-02-16,135.33333333333334,4.4,47,0,1,5,4.4,3,154.66666666666666,4.915102867374692
SKU-0002,2025-03-02,154.66666666666666,4.4,71,0,4,0,4.4,3,140.0,5.0477169690007875
SKU-0002,2025-03-16,140.0,4.4,48,0,0,1,4.4,3,150.66666666666666,4.948759890378168
SKU-0002,2025-03-30,150.66666666666666,4.4,64,0,0,10,4.4,3,130.33333333333334,5.02168513028284
SKU-0002,2025-04-13,130.33333333333334,4.4,45,0,0,1,4.4,3,142.66666666666666,4.877738620629824
SKU-0002,2025-04-27,142.66666666666666,4.4,60,0,0,0,4.4,3,132.66666666666666,4.967495801435638
SKU-0002,2025-05-11,132.66666666666666,4.4,55,3,1,0,4.4,3,153.66666666666666,4.895349138638459
SKU-0002,2025-05-25,153.66666666666666,4.4,65,0,4,0,4.4,3,167.0,5.041272263558145
SKU-0002,2025-06-08,167.0,4.4,65,0,6,0,4.4,3,180.33333333333334,5.123963979403259
SKU-0002,2025-06-22,180.33333333333334,4.4,67,6,0,0,4.4,3,165.66666666666666,5.200336958187833
SKU-0002,2025-07-06,165.66666666666666,4.4,53,0,13,16,4.4,3,158.33333333333334,5.115995809754082
SKU-0002,2025-07-20,158.33333333333334,4.4,61,0,1,11,4.4,3,172.66666666666666,5.070998443823346
SKU-0002,2025-08-03,172.66666666666666,4.4,83,6,14,0,4.4,3,187.0,5.157137753085257
SKU-0002,2025-08-17,187.0,4.4,61,0,0,8,4.4,3,181.33333333333334,5.236441962829949
SKU-0002,2025-08-31,181.33333333333334,4.4,60,0,5,5,4.4,3,162.33333333333334,5.205836513753871
SKU-0002,2025-09-14,162.33333333333334,4.4,57,0,4,0,4.4,3,148.66666666666666,5.095793102436563
SKU-0002,2025-09-28,148.66666666666666,4.4,48,0,1,0,4.4,3,147.0,5.0084105990741445
SKU-0002,2025-10-12,147.0,4.4,52,0,5,6,4.4,3,147.0,4.997212273764115
SKU-0002,2025-10-26,147.0,4.4,57,0,0,0,4.4,3,161.66666666666666,4.997212273764115
SKU-0002,2025-11-09,161.66666666666666,4.4,66,0,0,5,4.4,3,156.0,5.0917031171850375
SKU-0002,2025-11-23,156.0,4.4,50,0,5,5,4.4,3,166.66666666666666,5.056245805348308
SKU-0002,2025-12-07,166.66666666666666,4.4,70,0,8,4,4.4,3,164.33333333333334,5.121977881431629
SKU-0003,2025-01-05,27.0,3.8,10,0,0,0,3.8,3,46.5,3.332204510175204
SKU-0003,2025-01-19,46.5,3.8,25,0,0,0,3.8,3,50.333333333333336,3.8607297110405954
SKU-0003,2025-02-02,50.333333333333336,3.7000000000000006,24,0,3,0,3.8,3,74.66666666666667,3.9383403137455195
SKU-0003,2025-02-16,74.66666666666667,3.7,35,0,2,4,3.8,3,90.33333333333333,4.326337728813293
SKU-0003,2025-03-02,90.33333333333333,3.645238095238095,42,0,2,0,3.8,3,97.33333333333333,4.5145158177199605
SKU-0003,2025-03-16,97.33333333333333,3.6,28,0,0,1,3.8,3,91.0,4.58836306767171
