SKU,Fecha,Demanda_Total,Precio_Prom_Venta,Num_Transacciones,Num_Feriados,Num_Dias_Pago,Precio_base,Rotacion_Cod,Target_Demanda_Futura
SKU-0001,2025-01-05,48,9.9625,16,1,2,10.0,3,109.0
SKU-0001,2025-01-19,109,9.852631578947369,38,0,10,10.0,3,131.0
SKU-0001,2025-02-02,131,9.649056603773584,53,0,22,10.0,3,102.0
SKU-0001,2025-02-16,102,9.454054054054055,37,0,8,10.0,3,126.0
SKU-0001,2025-03-02,126,9.289583333333335,48,0,9,10.0,3,115.0
SKU-0001,2025-03-16,115,9.115384615384615,39,0,5,10.0,3,108.0
SKU-0001,2025-03-30,108,8.927906976744186,43,0,8,10.0,3,135.0
SKU-0001,2025-04-13,135,8.742857142857142,49,0,10,10.0,3,174.0
SKU-0001,2025-04-27,174,8.554098360655736,61,8,18,10.0,3,100.0
SKU-0001,2025-05-11,100,8.368421052631579,38,3,7,10.0,3,87.0
SKU-0001,2025-05-25,87,8.202941176470588,34,0,11,10.0,3,88.0
SKU-0001,2025-06-08,88,7.990625,32,6,9,10.0,3,102.0
SKU-0001,2025-06-22,102,7.797826086956522,46,0,7,10.0,3,137.0
SKU-0001,2025-07-06,137,7.6312500000000005,48,4,9,10.0,3,123.0
SKU-0001,2025-07-20,123,7.449090909090909,55,0,11,10.0,3,163.0
SKU-0001,2025-08-03,163,7.2592592592592595,54,16,13,10.0,3,75.0
SKU-0001,2025-08-17,75,7.053571428571429,28,2,6,10.0,3,87.0
SKU-0001,2025-08-31,87,6.886206896551725,29,1,3,10.0,3,117.0
SKU-0001,2025-09-14,117,6.695454545454546,44,0,5,10.0,3,100.0
SKU-0001,2025-09-28,100,6.524324324324325,37,0,7,10.0,3,91.0
SKU-0001,2025-10-12,91,6.347368421052631,38,1,11,10.0,3,121.0
SKU-0001,2025-10-26,121,6.141304347826087,46,0,12,10.0,3,125.0
SKU-0001,2025-11-09,125,5.972093023255814,43,1,13,10.0,3,124.0
SKU-0001,2025-11-23,124,5.780851063829787,47,0,7,10.0,3,118.0
SKU-0001,2025-12-07,118,5.59795918367347,49,0,14,10.0,3,145.0
SKU-0001,2025-12-21,145,5.427659574468085,47,6,9,10.0,3,89.0
SKU-0002,2025-01-05,48,4.4,19,5,7,4.4,3,117.0
SKU-0002,2025-01-19,117,4.4,43,0,10,4.4,3,158.0
SKU-0002,2025-02-02,158,4.4,61,0,13,4.4,3,131.0
SKU-0002,2025-02-16,131,4.4,47,0,8,4.4,3,175.0
SKU-0002,2025-03-02,175,4.4,71,0,14,4.4,3,114.0
SKU-0002,2025-03-16,114,4.4,48,0,7,4.4,3,163.0
SKU-0002,2025-03-30,163,4.4,64,0,8,4.4,3,114.0
SKU-0002,2025-04-13,114,4.4,45,0,14,4.4,3,151.0
SKU-0002,2025-04-27,151,4.4,60,9,15,4.4,3,133.0
SKU-0002,2025-05-11,133,4.4,55,8,15,4.4,3,177.0
SKU-0002,2025-05-25,177,4.4,65,0,16,4.4,3,191.0
SKU-0002,2025-06-08,191,4.4,65,4,23,4.4,3,173.0
SKU-0002,2025-06-22,173,4.4,67,0,20,4.4,3,133.0
SKU-0002,2025-07-06,133,4.4,53,2,14,4.4,3,169.0
SKU-0002,2025-07-20,169,4.4,61,0,8,4.4,3,216.0
SKU-0002,2025-08-03,216,4.4,83,21,18,4.4,3,176.0
SKU-0002,2025-08-17,176,4.4,61,6,14,4.4,3,152.0
SKU-0002,2025-08-31,152,4.4,60,3,7,4.4,3,159.0
SKU-0002,2025-09-14,159,4.4,57,0,9,4.4,3,135.0
SKU-0002,2025-09-28,135,4.4,48,0,8,4.4,3,147.0
SKU-0002,2025-10-12,147,4.4,52,3,10,4.4,3,159.0
SKU-0002,2025-10-26,159,4.4,57,0,8,4.4,3,179.0
SKU-0002,2025-11-09,179,4.4,66,4,18,4.4,3,130.0
SKU-0002,2025-11-23,130,4.4,50,0,13,4.4,3,191.0
SKU-0002,2025-12-07,191,4.4,70,0,14,4.4,3,172.0
SKU-0002,2025-12-21,172,4.4,56,10,9,4.4,3,124.0
SKU-0003,2025-01-05,27,3.8,10,0,1,3.8,3,66.0
SKU-0003,2025-01-19,66,3.8,25,0,6,3.8,3,58.0
SKU-0003,2025-02-02,58,3.7000000000000006,24,0,10,3.8,3,100.0
SKU-0003,2025-02-16,100,3.7,35,0,5,3.8,3,113.0
SKU-0003,2025-03-02,113,3.645238095238095,42,0,10,3.8,3,79.0
SKU-0003,2025-03-16,79,3.6,28,0,1,3.8,3,81.0
SKU-0003,2025-03-30,81,3.6,28,0,2,3.8,3,83.0
SKU-0003,2025-04-13,83,3.5172413793103448,29,0,7,3.8,3,49.0
